#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2021 01 23 12 30  80 10.0 13.0    MM    MM    MM  MM 1018.7  23.5  23.8  19.5   MM   MM    MM
2021 01 23 12 20  80 10.0 13.0    MM    MM    MM  MM 1018.9  23.5  23.8  19.6   MM   MM    MM
2021 01 23 12 10  80 10.0 13.0    MM    MM    MM  MM 1019.0  23.3  23.7  19.5   MM   MM    MM
2021 01 23 12 00  80 10.0 12.0    MM    MM    MM  MM 1019.1  23.2  23.7  19.6   MM -0.6    MM
2021 01 23 11 50  80 11.0 13.0   4.4    19   9.2 295 1019.1  23.3  23.8  18.8   MM   MM    MM
2021 01 23 11 40  80 11.0 15.0   4.4    MM   9.2 295 1019.1  23.1  23.7  18.8   MM   MM    MM
2021 01 23 11 30  80 10.0 14.0    MM    MM    MM  MM 1019.1  22.9  23.8  19.6   MM   MM    MM
2021 01 23 11 20  80 10.0 13.0    MM    MM    MM  MM 1019.3  23.3  23.8  19.2   MM   MM    MM
2021 01 23 11 10  80 10.0 13.0    MM    MM    MM  MM 1019.4  23.5  23.7  18.6   MM   MM    MM
2021 01 23 11 00  90 10.0 14.0    MM    MM    MM  MM 1019.4  23.8  23.7  18.5   MM -1.0    MM
2021 01 23 10 50  90 10.0 14.0   4.6    19   9.1 304 1019.4  23.8  23.8  18.5   MM   MM    MM
2021 01 23 10 40  80 10.0 14.0   4.6    MM   9.1 304 1019.4  23.1  23.8  19.2   MM   MM    MM
2021 01 23 10 30  90 12.0 15.0    MM    MM    MM  MM 1019.6  22.6  23.7  19.8   MM   MM    MM
2021 01 23 10 20 100  9.0 13.0    MM    MM    MM  MM 1019.6  22.8  23.8  20.4   MM   MM    MM
2021 01 23 10 10 110  8.0 10.0    MM    MM    MM  MM 1019.7  21.8  23.8  19.9   MM   MM    MM
2021 01 23 10 00 110  8.0 11.0    MM    MM    MM  MM 1019.7  20.8  23.8  19.5   MM +0.0    MM
2021 01 23 09 50 110 13.0 18.0   4.1    19   8.5 331 1020.1  20.9  23.8  19.5   MM   MM    MM
2021 01 23 09 40 100 15.0 18.0   4.1    MM   8.5 331 1020.1  21.9  23.8  19.8   MM   MM    MM
2021 01 23 09 30 100 12.0 18.0    MM    MM    MM  MM 1019.9  23.2  23.8  20.0   MM   MM    MM
2021 01 23 09 20  90 11.0 14.0    MM    MM    MM  MM 1020.0  23.7  23.8  19.8   MM   MM    MM
2021 01 23 09 10  90 10.0 13.0    MM    MM    MM  MM 1019.8  23.7  23.8  19.5   MM   MM    MM
2021 01 23 09 00  90 11.0 14.0    MM    MM    MM  MM 1019.9  23.7  23.8  19.9   MM +0.0    MM
2021 01 23 08 50  90 10.0 14.0   4.1    19   8.6 328 1020.0  24.0  23.8  19.7   MM   MM    MM
2021 01 23 08 40  90 10.0 13.0   4.1    MM   8.6 328 1020.0  23.9    MM  19.9   MM   MM    MM
2021 01 23 08 30  80 10.0 13.0    MM    MM    MM  MM 1020.0  23.8  23.8  19.9   MM   MM    MM
2021 01 23 08 20  90 10.0 13.0    MM    MM    MM  MM 1020.1  23.8  23.8  20.0   MM   MM    MM
2021 01 23 08 10  80  9.0 11.0    MM    MM    MM  MM 1020.2  23.5  23.8  20.5   MM   MM    MM
2021 01 23 08 00  80  9.0 11.0    MM    MM    MM  MM 1020.2  23.4  23.8  21.0   MM +0.7    MM
2021 01 23 07 50  70 10.0 12.0   3.9    19   8.5 338 1020.2  23.5  23.8  21.0   MM   MM    MM
